iter	Passed	Remaining
0	162	162584
1	164	81975
2	165	55085
3	167	41698
4	169	33733
5	171	28347
6	172	24478
7	174	21662
8	176	19419
9	177	17606
10	179	16133
11	180	14893
12	182	13848
13	184	12963
14	185	12192
15	187	11502
16	188	10891
17	189	10352
18	191	9872
19	192	9437
20	194	9044
21	195	8688
22	197	8375
23	198	8075
24	199	7796
25	201	7539
26	202	7303
27	204	7086
28	205	6878
29	206	6684
30	208	6508
31	209	6344
32	211	6191
33	212	6041
34	214	5901
35	215	5773
36	216	5645
37	218	5525
38	219	5412
39	221	5306
40	222	5210
41	224	5115
42	225	5023
43	227	4940
44	228	4858
45	230	4776
46	231	4699
47	233	4627
48	234	4554
49	236	4493
50	237	4426
51	239	4364
52	240	4303
53	242	4242
54	243	4182
55	244	4127
56	246	4071
57	247	4018
58	248	3967
59	250	3919
60	251	3871
61	252	3824
62	254	3778
63	255	3735
64	256	3692
65	258	3651
66	259	3610
67	260	3571
68	261	3534
69	263	3502
70	265	3468
71	266	3434
72	267	3399
73	269	3366
74	270	3336
75	271	3304
76	273	3272
77	274	3240
78	275	3212
79	276	3183
80	278	3155
81	279	3129
82	280	3096
83	281	3072
84	283	3047
85	284	3024
86	285	2998
87	287	2974
88	288	2953
89	289	2930
90	291	2910
91	292	2888
92	294	2869
93	295	2849
94	296	2828
95	298	2808
96	299	2789
97	301	2771
98	302	2752
99	303	2733
100	305	2715
101	306	2698
102	307	2680
103	309	2662
104	310	2645
105	311	2628
106	313	2615
107	314	2599
108	315	2582
109	317	2567
110	318	2554
111	320	2539
112	321	2524
113	323	2510
114	324	2496
115	325	2483
116	326	2467
117	328	2453
118	329	2439
119	331	2427
120	332	2416
121	333	2400
122	334	2388
123	336	2374
124	337	2363
125	338	2351
126	340	2338
127	341	2327
128	342	2315
129	344	2303
130	345	2292
131	347	2283
132	348	2271
133	350	2263
134	351	2254
135	353	2243
136	354	2232
137	355	2221
138	356	2211
139	358	2200
140	359	2188
141	360	2176
142	361	2165
143	362	2156
144	364	2147
145	365	2137
146	366	2127
147	367	2117
148	369	2108
149	370	2099
150	371	2090
151	373	2081
152	374	2072
153	375	2064
154	376	2055
155	378	2046
156	379	2038
157	381	2030
158	382	2023
159	383	2015
160	384	2005
161	386	1997
162	387	1990
163	388	1982
164	390	1975
165	391	1968
166	393	1960
167	394	1953
168	395	1946
169	397	1939
170	398	1933
171	400	1926
172	401	1920
173	403	1913
174	404	1906
175	405	1900
176	407	1893
177	408	1886
178	409	1878
179	410	1870
180	412	1864
181	413	1857
182	414	1851
183	416	1845
184	417	1838
185	418	1832
186	419	1825
187	421	1818
188	422	1811
189	423	1805
190	424	1799
191	426	1793
192	427	1786
193	428	1781
194	430	1775
195	431	1769
196	432	1763
197	433	1757
198	435	1751
199	436	1745
200	437	1739
201	438	1733
202	439	1727
203	441	1721
204	442	1716
205	444	1711
206	445	1705
207	446	1699
208	447	1693
209	448	1688
210	450	1683
211	451	1678
212	452	1672
213	453	1666
214	455	1662
215	456	1656
216	457	1651
217	458	1645
218	459	1640
219	461	1635
220	462	1630
221	463	1624
222	464	1619
223	466	1614
224	467	1610
225	468	1606
226	470	1601
227	471	1596
228	473	1592
229	474	1588
230	475	1583
231	477	1579
232	478	1575
233	479	1570
234	481	1566
235	482	1561
236	483	1557
237	485	1553
238	486	1549
239	487	1544
240	489	1540
241	490	1535
242	491	1532
243	493	1527
244	494	1524
245	496	1520
246	497	1516
247	499	1513
248	500	1510
249	502	1507
250	504	1504
251	505	1500
252	507	1497
253	508	1494
254	510	1490
255	511	1487
256	513	1484
257	514	1480
258	516	1476
259	517	1473
260	518	1469
261	520	1465
262	521	1461
263	522	1457
264	523	1453
265	525	1449
266	526	1445
267	527	1441
268	529	1438
269	530	1435
270	532	1431
271	533	1426
272	534	1422
273	535	1419
274	537	1416
275	538	1412
276	539	1408
277	540	1404
278	542	1401
279	543	1398
280	544	1394
281	546	1390
282	547	1386
283	548	1383
284	550	1380
285	551	1376
286	552	1372
287	553	1369
288	555	1366
289	556	1363
290	558	1359
291	559	1355
292	560	1352
293	562	1350
294	563	1346
295	564	1342
296	565	1339
297	567	1335
298	568	1333
299	569	1329
300	571	1326
301	572	1322
302	573	1319
303	574	1316
304	576	1312
305	577	1309
306	578	1305
307	580	1303
308	581	1300
309	582	1297
310	583	1293
311	585	1290
312	586	1287
313	587	1284
314	589	1281
315	590	1277
316	591	1275
317	593	1272
318	594	1269
319	595	1266
320	596	1262
321	598	1260
322	599	1256
323	600	1253
324	602	1250
325	603	1247
326	604	1244
327	605	1241
328	607	1238
329	608	1234
330	609	1231
331	610	1228
332	611	1225
333	613	1222
334	614	1219
335	615	1216
336	616	1213
337	617	1210
338	619	1207
339	620	1203
340	621	1200
341	622	1198
342	624	1196
343	626	1193
344	627	1190
345	628	1187
346	629	1184
347	630	1182
348	632	1179
349	633	1175
350	634	1172
351	635	1170
352	636	1167
353	638	1164
354	639	1161
355	640	1158
356	641	1155
357	642	1153
358	644	1150
359	645	1147
360	646	1144
361	647	1141
362	649	1138
363	650	1136
364	651	1133
365	652	1130
366	653	1127
367	655	1125
368	656	1122
369	657	1119
370	658	1116
371	659	1114
372	661	1111
373	662	1109
374	663	1106
375	665	1103
376	666	1100
377	667	1098
378	668	1095
379	669	1093
380	671	1090
381	672	1087
382	673	1085
383	675	1082
384	676	1080
385	677	1077
386	678	1074
387	679	1072
388	681	1069
389	682	1067
390	683	1064
391	684	1061
392	685	1059
393	687	1057
394	688	1054
395	689	1052
396	691	1049
397	692	1047
398	693	1044
399	694	1042
400	695	1039
401	696	1036
402	698	1034
403	699	1032
404	700	1029
405	701	1027
406	703	1024
407	704	1021
408	705	1019
409	706	1016
410	707	1014
411	708	1011
412	710	1009
413	711	1007
414	712	1004
415	713	1001
416	715	999
417	716	997
418	717	995
419	719	992
420	720	990
421	721	987
422	722	985
423	723	983
424	725	981
425	726	978
