iter	Passed	Remaining
0	1	105
1	1	86
2	2	77
3	3	73
4	3	74
5	4	73
6	5	73
7	6	71
8	6	69
9	7	68
10	8	68
11	9	67
12	9	65
13	10	64
14	11	64
15	12	64
16	13	63
17	13	62
18	14	61
19	15	60
20	15	59
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	55
27	21	54
28	22	55
29	23	54
30	24	53
31	24	52
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	29	48
38	30	47
39	31	46
40	32	46
41	32	44
42	33	43
43	34	43
44	34	42
45	36	42
46	37	42
47	38	41
48	39	40
49	39	39
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	34
57	45	33
58	46	32
59	47	31
60	48	30
61	49	30
62	50	29
63	50	28
64	51	27
65	52	26
66	53	26
67	53	25
68	54	24
69	55	23
70	56	22
71	57	22
72	57	21
73	58	20
74	59	19
75	60	19
76	61	18
77	61	17
78	62	16
79	63	15
80	63	14
81	64	14
82	65	13
83	66	12
84	67	11
85	67	11
86	68	10
87	69	9
88	70	8
89	70	7
90	71	7
91	72	6
92	73	5
93	74	4
94	74	3
95	75	3
96	76	2
97	77	1
98	78	0
99	79	0
